100000 500
-15597549 201041997 4013
342862349 999192452 9742
-728897549 -264363670 8650
-979531707 85340804 3790
124007553 507548134 5080
-721568600 -694866500 5325
-429820018 -335531522 6521
-702967221 526804354 1636
-961740463 420208182 8740
127926938 730675512 3167
-854170123 -340474716 2658
-309800901 891388808 6866
-632075830 -616113440 9001
-781369518 -577171293 7093
-397157648 -125280172 5945
-400185373 -214271289 8178
696365277 948706757 8001
-225477894 933171486 5200
51534107 185334816 7609
199709616 433831160 7996
-277844469 -139213768 9286
570999724 769954298 207
762897604 905489126 6874
-653665134 841081251 6523
-534392889 -2697751 7392
127709458 780321309 5744
52487130 267440938 1104
76319376 663199198 2293
85138104 455272242 5501
5254392 219945343 6770
885077228 933574656 3696
156384298 372076340 9384
-274565506 -234483933 5743
-412864763 13336512 1635
484370308 968713976 6451
-341289625 854872500 4954
-149069727 165059997 9739
500023957 856957952 9336
-823412271 94380236 9842
588833911 811916680 11
236600381 322797280 8422
981410571 988146783 9638
512579591 905895337 3579
339949354 875503478 5908
272218552 495909847 449
-591332086 -437544321 9827
-774809557 628668932 8395
-661807839 736102049 2446
154435459 756268968 6324
-366027439 -312635839 2067
533397386 637304436 7154
-485827199 229752305 7761
-124732740 571816898 8018
738366080 788874683 8497
39160335 557191552 8159
192904266 700977496 7659
-572181799 -470137431 1926
918762154 940154408 1506
926154340 977688204 4930
-815296687 -325251131 2932
187384248 892287003 1929
-923924379 914520950 5734
738554944 965907912 8014
-642778782 -354972692 8066
969234925 990585660 8690
786041257 940261756 1941
16660450 591063454 9664
-170875200 305481559 7447
-106870734 820043271 7763
498662639 978420747 3667
520913996 740762286 9913
976999277 980629850 8017
-887249086 796943898 1369
747495227 790053184 5471
430794759 990552743 3490
895796042 935856698 9603
979374890 988107115 5755
-207280243 322538172 2239
-832580171 -465758895 7951
403907796 473504318 6756
-563003042 322671584 4061
665748095 869594293 3616
17552578 636097602 1148
641829297 795755769 8864
-73874023 467303915 6600
-770495653 -482028507 3830
-319304134 169057028 2778
951449687 996967675 2313
-13938506 337950165 7012
604625216 916259476 7077
-30325834 889205290 8035
-882295199 -700204819 268
-595168897 -457966180 6724
644327114 715194345 4672
-744367134 706139819 1713
-788687222 806945377 4589
239255318 696404142 4092
639655424 694645454 8267
426200697 911076552 8130
-615089921 -336558086 5010
227087623 940314641 6572
-415317756 -78733033 7864
427736846 574769815 3507
-266802821 251665386 2941
422017491 623521559 8001
-571162521 76979067 1014
-789030590 116524072 5923
-801727889 -54835426 5395
540529098 788369204 3563
-408322942 801072935 7351
404214077 909754815 5689
-970178693 748646387 4575
460309229 897933008 7280
488730655 871559600 1948
-663193087 -271551290 8314
-411668897 -276609081 9769
-327811668 328273114 110
595754217 942580168 9491
-868122731 841489691 9724
-645578408 566879592 8230
-975770960 -924554917 7553
266106558 457584998 7145
7464980 328074499 5323
16010497 903604020 5204
441476246 811003687 4006
-722856767 19976342 4738
-719579572 136699618 8580
304902114 605634520 1325
-543187667 135384125 2000
776855019 905227178 2706
-33563262 -19752933 2186
-967665391 758868473 8555
447708405 656377331 5447
42218655 705565409 7799
-102722094 230181318 6713
231431604 255562117 821
590930570 710035511 9767
922955130 997788359 9677
-317477677 688792483 7849
721372147 946688142 1746
235715595 534265546 3639
285903519 576307244 3001
-34229802 347815483 7136
575204367 832913698 7289
-760082344 825311456 3117
-442078827 -406390757 2536
-274834236 5100832 7688
878439516 923897953 4491
-78413003 504657730 6569
637471131 881516659 8766
-183314062 921256250 8546
-714052253 346334269 6249
-232550706 209642120 6489
223317511 880453588 5558
943016466 992579691 7952
285213013 440835361 7623
990439699 996223104 1263
702646819 740157902 5929
-357102305 -20820096 9415
485152349 949578101 1893
-239970364 13651966 238
-321936916 697233922 8922
-162028610 946726885 2935
363122285 671749242 3143
425396752 900657830 124
-332023999 -188848537 5590
-471074266 507820783 5982
-18906405 891948446 6693
-836944057 -191602259 5967
786684907 870868296 5838
-872124579 111153817 7951
779484215 864018737 8099
-735327532 543414562 5848
66260388 413593299 8014
846263590 943349384 4590
-853152488 385860577 9325
-991240601 -209562107 8178
668337888 952700630 3984
803011747 812396244 3562
-293383500 871324249 7857
359426988 561944726 8175
254116985 304039813 9874
-914413029 -258270433 6427
507984521 753591094 8170
280278350 487987153 9130
866060971 955363104 185
-291406587 -230558841 8264
-229242727 27891613 7639
-590894803 198450131 4464
720053465 822621190 4982
-463178458 -141649494 9824
-262268624 121630178 1989
529226620 931956261 702
947343884 971915997 2556
800320500 804337873 1312
491724985 811611019 5852
-58974479 225697048 9631
-666017800 -568179829 8327
315863933 952701932 774
958389014 961586107 451
55556476 588977482 3119
31379066 666875765 6381
-505792641 300056099 9501
914607397 986195199 2040
374694653 898381052 7474
529950533 851120664 8265
-322085291 385709290 1150
851713595 934981430 8996
-101988867 -47820965 4186
-895703743 178529560 6793
363288740 677542717 6838
-591670472 13676446 5703
-273519867 -185861304 47
-685406640 444177445 9055
278340376 340518681 1491
-851846094 20195569 4963
-492694879 539002992 2622
594495546 703047490 3687
544506591 575215975 8931
-225906261 903723938 3970
-578873428 981563310 2830
-196449529 845985436 4215
716198690 943809314 1861
-4742959 929723091 4493
938931425 974338897 3451
767772037 787176066 6887
-256180849 133737595 5959
-94886448 61605769 1649
927616154 940967491 7683
791214916 832645542 3357
-980167046 -593840791 4912
-523692332 365494611 6326
-101598923 90104799 2706
-331354102 -116978004 199
256031046 904553384 84
359748539 720568144 1251
244282279 810173416 3386
-705314830 713678441 2304
73873860 575587976 2537
-860254140 288785209 4179
290641068 602744306 2003
472099761 489871784 2063
828779707 939032897 7501
811566799 995745771 9299
-424857435 222257021 9062
-491789363 531471971 5002
-789889279 884428772 6383
444810685 490056680 7059
167080336 746059276 705
555056007 989173192 9631
-532882581 -487502496 1765
638169264 753390571 4509
343858337 569026998 9151
-530804406 -358617061 9304
-237078426 362203213 4999
785958209 831519723 2761
555677683 841118750 4597
57654346 186094990 5098
776465496 959949727 4444
-834377033 700328619 2406
-834636621 -342305703 4916
-508777417 290970666 5531
-999446225 894590273 567
-54562955 667902310 9633
433159077 622649751 7547
107206541 179340757 6411
-83039397 803745106 8043
-815508696 616974099 2077
555758752 895626503 3335
-620371837 550544341 3340
958007551 966333728 7825
-439581231 512960479 9462
-729797705 -141175371 8697
862934926 970974369 4592
-428599590 -191474665 7737
-150358599 504035409 7210
768400850 825778913 9208
386603260 732434576 8977
-884464491 903335622 2692
-512167309 969639919 1618
844719381 915769299 4487
-192738933 -17832834 6549
-64621440 37319277 8622
219445823 873347992 2570
-533776843 -57153620 8609
-370213493 -117294844 5518
-710006312 -588007272 4807
-207080954 422628712 8352
-947311489 -335830845 5373
-773310820 597551420 4041
-921094970 640344269 6090
773947566 802991396 7537
-646826721 60159605 2339
864047465 926090529 7369
-587588812 220756019 4485
-659793213 -445217083 741
-458844500 235015723 6940
-936194228 726779282 1025
-486659508 -485996225 3851
459562166 479607854 2076
763965117 816495347 3962
169448797 290859900 2425
976716216 990044293 3419
277678320 944069228 394
939699845 948054922 3179
-140149708 705696660 9485
48585537 242975450 9192
400907368 819046132 7287
-372624140 519790903 3831
774917552 989623405 8976
-765738035 750763877 1775
622785839 781461335 6460
330886713 335664835 378
964488520 992323427 8322
-187411861 133310612 6759
-590269267 833338444 979
852381062 918703852 9877
-524208748 767946739 2230
-244903077 965420139 7730
-670209562 22987404 7161
-783049403 -632149492 1986
-362269699 155395035 2974
-197688203 635739206 4331
-676809906 -188065020 5492
-310139336 -3367497 3986
-197682850 416448405 6718
323577480 874940778 3777
-49359042 301206275 9966
-724362862 -369569805 6720
670228770 990254648 5467
-886908524 1385929 4241
-680107305 258292367 473
294228811 592094123 4990
-639618567 -140543133 9199
-893469131 894216513 9260
70100928 633490110 376
-30293772 305559295 7980
552451675 839521249 5772
781879231 889469254 232
-718577670 258495392 9771
-826834844 -419987405 374
90466099 825107174 2121
-807172452 -467603579 4259
-801291266 298618868 5820
-698811821 137704093 9962
-281866587 -158518761 1505
502224888 624879472 3667
700791152 947700345 2277
-39788967 532904658 8822
331151952 561484153 4380
931076374 964300941 3988
652429376 807996295 4859
-789534082 -250080477 989
-52847933 955173913 2508
-87225543 27618469 468
-501132037 802585389 6241
-681890988 82136507 2820
113876895 920721263 4772
924435913 984158402 2455
81708613 365426045 7273
-723133059 -530401467 2775
-43770648 813919064 9050
649255232 785347797 1806
354677910 672210608 5954
3368828 347129857 7328
829720007 901314143 3932
-133431773 880091191 2300
711048180 795058324 9252
-227161569 129868129 2132
550772172 792070007 9651
-646477322 -413928263 4710
-686374913 70342444 4995
-357319783 -93661100 5251
-319673807 277817964 1665
465253374 593581791 8362
166765679 890010343 4101
553231663 764084415 3445
-894413375 216271592 201
-915064912 -654619978 4571
-605544446 -286560471 5672
-574051165 -531848877 2000
158915404 723032703 1877
852235691 962015088 7679
993815557 997967091 1404
638184879 946321252 6750
-529509576 76824670 4443
-724974950 -573838039 8356
813172435 922075983 3538
-847006824 -781222351 7737
-238032571 74101182 8196
397775453 802724116 998
939951074 996736981 7408
359495819 772995486 6052
-243942463 671343303 3537
284723525 831305791 6986
88107622 824635681 792
509705214 597351057 6998
-325189538 146538449 5623
773305536 905449370 45
-833460359 619034303 7352
157715240 638890830 9176
30107385 605386425 7175
-146318503 429406755 9095
465864971 932883828 9117
937411706 984001835 4023
748845897 785660415 6507
-872703256 895010174 2604
282015316 499268182 6847
-34475216 628927659 2252
633982048 971809085 4925
-883555218 -852504247 457
-789636203 942007983 968
-896456085 -472022017 1697
-703201790 671297063 4297
888177104 922165260 2393
847903447 953112150 4391
48010720 590321198 6903
-307067631 -279480067 3929
-453582131 -304541846 9477
-6587535 397884801 1102
-476597871 -339960584 5891
-92083156 -91070043 2185
439737196 735980458 8081
645083473 675874422 560
838915376 968894296 4833
-796808395 742835330 3700
663350226 922998903 5700
-536712947 265395639 6907
-341433174 911037918 5115
-600097210 897691870 5514
234950867 660592935 4674
-532769265 118167355 7311
-713302413 381997893 3847
45572044 90051956 9013
-718506475 -242111919 7369
951650011 955574348 802
869195605 941170123 5030
-422787935 704315002 4901
261565135 866284927 7716
723070128 747634865 8748
454937927 700838924 7297
44975498 354712219 1924
-287379039 -273412474 6386
-176940570 974276855 1089
-769920102 370103269 5659
306506806 972100013 7179
-196064105 503285536 4790
175730296 981248377 7022
-748866453 -227212692 9302
-406573554 371875939 799
774853689 959224870 455
428473832 451889560 9167
508010260 683994801 6400
-276821493 909868644 1088
254251695 583247421 8114
-908179986 988415224 3290
-99056255 654386334 9789
-767822574 315577836 6069
40056752 53188139 449
256887154 573992056 410
-462493826 24306751 5246
445326013 752497677 6017
-974203956 430550380 728
228877478 400173476 6624
-709023261 445215142 2420
57400444 742285177 9680
41903183 366045333 8747
310512171 742089529 6024
-608664895 -147283403 2063
-132072220 678946587 580
-608546838 403250695 6165
721875050 749353977 2349
445270101 778000011 157
98802186 438909375 5839
857104949 909636966 5505
-922632077 388663519 582
-497029710 -320940915 6213
900440242 947519034 3660
-340734911 -238012827 3139
-216513773 -187579283 6280
320041266 372543617 3875
-557019790 -490186133 6674
-30060503 906462987 252
-538784671 99909710 7953
-617029900 277113356 3063
922875617 989880704 2986
325433245 585105098 6710
-683996385 825422166 3521
933484914 990818407 5774
512701554 831456972 587
-322661209 218240319 2166
222621415 522189681 624
636765264 756215897 6023
-697327466 -331410235 569
115840214 695599325 3367
249753000 588241429 5514
-749955264 -554399632 9397
433186332 743055170 2774
-885044999 -772322809 1219
-167205355 997916623 3241
-198210476 448200647 7975
391586702 646535471 8262
479445657 563036630 3498
-314884411 88801525 9190
413422592 802951684 3805
979564755 997194323 1036
-236330611 -175744144 9561
-483929085 237174045 7856
-337754716 308977013 1703
-472017218 987203589 8338
-779379071 54960121 260
737267483 944098403 8722
-191105349 518975215 6469
-721151913 -454420237 366
709034574 773943165 9424
-358107287 299892808 7009
-634696586 270201427 4798
-705551541 508851638 5315
-604334823 -577694005 5646
-111707652 -49613191 7511
-953918440 314378273 5715
-880124925 16983959 5732
924516385 939056808 7099
700146112 786440764 5442
-209933916 -5546796 867
-2518170 350018267 2134
418940810 559407235 4234
501361008 900358118 9049
-42665264 423893384 6997
-747291215 -660132162 659
950371370 962793865 9467
-551139436 355418184 2253
582881751 816505702 6666
30319839 608750863 3902
-783551332 663980916 4109
-468200789 951763090 4788
-513300003 574016373 3773
661268519 953317771 4183
894401888 968340885 7617
556474105 781394942 3812
-518309405 658532810 6910
-82778212 122043992 2709
787025758 980096224 8095
108066945 647276155 646
490664384 649425382 3154
-8155832 148107929 8387
-695015234 -506844213 5702
-334097107 757130873 8384
-498261833 -395079778 8317
95553745 211318900 5015
-353893871 288388532 213
165001697 266443454 3952
62213758 421928358 502
-284653759 -281985452 7476
145585681 915699205 8952
207853542 257305088 3979
-37949356 152824173 4061
967905423 986006688 6191
-707508487 89666634 7034
-937003677 860590226 493
534587798 935979249 8357
641071714 895485241 8569
465557414 475319651 9599
-367590307 160093311 4054
-986600774 -333283197 3716
-772155762 979328593 7024
796411886 989819073 3859
555527893 577732336 251
580326998 801241429 6164
717935247 746479991 5543
-928668278 -448377456 2645
472736753 612227234 8368
-218628493 987084653 3764
268730384 609518888 2649
742223162 819388559 1992
-643902117 292366492 8697
-564778334 234067915 394
659815586 787901768 1852
230207424 404884749 2286
371776941 535824964 4376
384653263 527192482 7859
341882807 603560247 3670
-924541546 395085204 6345
-345452391 -295643004 2467
605306399 956904015 2824
241795515 437171369 7938
-343644289 418401432 3401
-433738329 889848823 3577
-791060042 513051561 8577
-376244786 171080110 9401
-944650563 -539122366 6004
421910775 465453821 9647
-311172706 810087799 1887
421466237 491282823 6074
-911651533 414951398 9990
-517552091 -51934822 396
-288893410 722616723 9108
-520571476 -272253676 9212
-684627841 827428443 3884
-242713525 589321176 8880
-306909362 645550566 2016
470863223 777963572 3361
-458106192 -289314915 5338
64752243 814145538 5662
-874236749 -146612612 7995
-535726931 325294732 7566
-594543733 544288557 1229
-70413121 932698728 1564
-518226702 390959415 5444
942241432 984277491 8184
255948292 742790498 5657
246592853 818716587 5824
-779541358 -656190142 6060
-894709875 834477811 7034
213119885 747861843 431
965074390 975199743 3286
147891349 609399729 6364
187389997 812789573 6880
-697991897 611187649 6862
-236599379 747241550 210
-714750435 -415983399 2871
-6319728 350272695 3081
574822953 795708556 649
299785502 961481994 5727
149120047 179886305 7710
-353858689 548603309 9404
902470512 902513409 256
863156949 880736978 8635
947356820 979743808 6720
-530662160 -264973090 5865
-140040518 823871384 3074
978255648 984815456 1432
-747059721 601206609 8126
-404067358 575365738 4646
338155838 359768120 2053
-56697344 371905339 3218
841432127 910402320 2094
963448443 979380457 8196
433134617 497104200 5124
573183076 610724298 2779
-284386163 531252016 1864
276470833 494661227 5753
353910255 751662404 4673
-76142817 690219590 965
390915460 580830072 5510
-128276003 237553239 6763
425552098 673131678 9434
335369959 347523006 5992
-662400064 992014641 9699
445868796 471878564 8877
241904310 554153961 1555
695321255 894469180 232
372355991 674209249 7116
393562361 709715135 3888
-965095972 511806325 4700
-778717362 -34983276 7424
-255577692 479754043 9056
819597740 832392723 9416
-494429543 -176173094 4907
-337453769 577076901 844
-380105564 403097415 5010
-819432751 455460800 4864
748306931 799130937 629
323587824 805600783 1371
-491736603 640335580 9704
-208275907 353806206 4965
-948080897 13125479 4188
438955817 828373999 6452
-570655285 -288940785 5750
277582901 800281228 907
485569197 517095092 9602
121285488 952834193 5085
788180592 942895738 5988
692054412 961274983 6165
-55032828 320545254 7416
-195277321 948731588 2755
-196743043 557044472 533
-218103937 -41825131 1647
786631477 868932279 6010
-86336847 676006255 7927
449362965 742234459 5386
752429116 949777875 8389
634200211 918436171 3052
-905824157 -470160774 7808
155354358 961347148 7541
673295717 751074308 3613
38289735 627325741 7286
-52724379 899375686 5420
-712736058 76759862 5431
826096543 947706067 5921
-661096890 740591126 3306
902277252 954221334 6232
-35958880 455853060 4286
-871394101 -603173245 8485
863559546 894795598 9694
-580924281 931860680 4080
-613138589 696675706 1406
-214141551 861652989 3262
-498467844 655289848 2671
116954074 596537830 2963
-784407853 828141368 9387
-853965019 -20241528 644
128102894 518286432 4799
953665042 984975134 3045
-525837281 268489463 5758
603014421 823102653 5916
-853167658 620202225 8127
160100434 689650036 6322
-28263749 2914979 5699
227200842 640480800 5742
634681249 869145863 1416
374443312 903097043 309
405284299 865699280 8867
-792913366 521742009 79
-498952465 49120190 1711
-493297410 -324454633 9974
761682071 995539115 1072
-170599511 409050041 8717
630354981 681062121 665
361647316 770087214 3428
-541731619 -46147384 3119
-498855147 507990517 4613
-369147412 -56850229 2913
707597299 801127484 4956
841481330 953218801 641
-591842876 -190416485 6823
-180273 823050384 8444
950824829 958226785 9357
872099020 915106523 7355
758402225 806362738 7804
22320812 492150527 8612
-226609043 625496461 5769
-992947668 280830694 1650
643806918 663719249 848
430929268 520247090 6712
998354442 999257189 101
-173716645 822787152 3007
416443146 903316442 6043
258427228 804098355 1048
143314695 280121563 3261
-840736384 -210257397 2177
545293491 833840544 8333
-575731499 383498470 8969
716995914 855509998 2804
-114389712 795565509 3368
-766163195 920213302 9603
118288524 504338192 8343
-631659500 647964081 7430
-469240684 782730584 476
-992821624 -352650438 4651
-70993356 727737281 7945
-931735382 -538036763 6405
923118375 954981879 7822
970729953 999778518 1050
141839621 373146641 5599
-607936978 234054655 8739
9362743 157698212 5755
-200606592 365777792 2159
847984152 867774643 7620
-297019800 617127541 3618
609381257 853874127 6241
-907175538 -255840752 4492
-274591704 28947666 6351
-832419193 -616572850 1979
-374806836 -52864552 8667
-208573044 210478348 7681
808039208 910841293 4294
467711611 720801753 6968
-826322245 80247260 7850
-337893149 590062463 656
-750950226 -20533004 7899
-592482043 455391067 593
-422160220 817031754 1796
516082176 594293071 5615
-499764610 196730815 8505
922021143 928228405 4605
-35906809 57966226 4410
225263377 940034279 807
-362997100 -327852747 9750
963805613 974054945 30
-116468247 827366602 7675
-347805815 605344925 4448
996254908 998409647 2004
654753295 976872228 8730
-843097662 462922733 5729
-313610976 259461327 6765
-480104220 990749470 6168
-980836911 656766368 5024
380996346 854852527 118
-209325150 -87415590 6853
-483382855 380664756 2940
384057497 621111121 107
-999707015 -911937221 8435
228191271 967717581 60
-437738994 -409903747 7301
-258318843 372800798 6670
-345548880 -292909522 4764
336512807 733996351 5215
827902173 892072821 7537
361748166 631320423 3242
-641425664 917762111 7063
882556650 908646190 3551
-799055111 801199009 65
-203993998 320517602 5457
537345223 987174193 6727
-313391709 670362491 1022
-367370108 -134671399 9011
121685874 147661718 1981
296873584 562178116 8193
-677086243 184379747 45
-773880255 -42795816 1841
574932150 909883845 5435
-629485362 -375956249 9149
-554529173 -227100228 5630
-454804563 -73698167 2281
-119655176 771810778 8404
-20002307 470476712 1624
-572862796 -410048760 8895
-546159745 467424586 345
399751746 871508743 6544
-332532937 -235055088 7814
-453135612 999058226 6276
968748657 986818041 5330
-488093313 189998744 5141
714435976 718428586 5475
818749492 905855238 4774
-435068866 714380582 7416
-402881069 169095404 9629
271457386 275518990 4110
-718443595 69080961 2086
956978358 985629618 2019
-552160826 806769864 3005
-202457163 172543376 6719
-949563760 174067281 8882
-146813140 213929143 5515
103528101 444308714 3122
-64630880 597947132 1310
222122063 329796657 9426
137550157 452118719 793
-887299219 -131489489 9048
242481250 916730257 4259
-583129071 896591033 892
-402939246 -64110573 5921
-165165341 454411637 2670
-203871603 181997151 3791
-906396259 -75649708 25
998133512 998933978 9621
516625175 749505249 9683
-806476172 571153490 9335
-947638774 156375074 2878
722461916 781717537 4916
466577333 817267850 104
96769475 695777601 79
-201208183 62536723 1626
-297781100 539926951 7731
-310974376 -121856439 9480
-627357242 -400056920 2478
-277981574 607923879 830
-47856494 803099945 9895
-874728278 449720039 2312
28818743 313462123 8990
-342918942 -334566103 3628
-503024803 234390719 7837
-801147833 -190816383 423
-567878011 849311970 2142
-467831132 458127361 6017
262675226 744932591 4043
810244743 998998704 5143
-940339188 662095747 5975
294078534 905562335 9374
148753447 855911635 4532
-271543130 884301280 8903
664543638 902863140 6156
-56687508 -4400457 5693
233272911 286964599 5774
-715746701 330988252 4265
-372465364 -291582097 3521
-277478809 757904764 4818
264850928 906512597 5218
661898719 670650648 728
146747818 971472008 6269
-379096627 221521875 7245
-107149405 612831979 3023
495996631 732491408 5261
-338921400 601753810 6583
-109932945 938401557 3658
700761440 914499512 590
-441028708 -224709086 7959
-290583637 221383309 9783
-180304812 952164503 4920
800253427 868683786 5398
-874157555 -600955361 5933
-37465933 874839424 8643
-28034215 711473696 8281
-318735757 491217438 3013
232900001 621769812 6519
-445744349 922590510 4935
208261952 775354941 6054
-127502748 -72799983 416
849833145 891579225 9003
167920495 254479487 7390
917156638 935248795 7138
444010665 462879555 2833
351198952 919439619 5808
209649571 972419820 833
-902090043 -815912333 4831
235872458 540271980 8763
-663185879 594389426 9109
375015505 714226110 6840
115602822 222861584 5469
-150587592 996759428 1388
-158043475 11116651 3049
453032314 497384667 3951
407247317 896921412 8318
38247948 391339834 1958
-949608633 242883955 7070
-87396490 250724478 2863
-8032157 592092520 2608
796032320 987723242 4903
330057408 721466118 2307
238642273 700237780 8977
-657453518 -280056586 2316
369409616 992029541 8640
-422971209 532222682 5692
-940222851 -383778994 7058
-524089532 627785788 8660
637562069 990716908 7738
677124261 922786365 4371
337567446 926752906 5180
-735266057 699313931 5548
-186365797 -70219321 8194
-459604441 -427919777 2783
-401146814 991867087 8017
193056791 862221310 8208
-868119664 -635564716 3116
-778123774 -420243042 4360
-285061874 339582636 5749
-441471985 -82799383 4015
701147980 730356068 3787
-663961014 -374711795 5206
825533048 843046194 8627
12414933 352950850 6985
324444202 385290306 6496
-459537768 502360354 3023
-183169251 820242222 8332
-938883070 908621933 5105
-342233435 367400641 2791
-719417110 358238921 4116
-908431914 737759610 1750
-574159638 81257614 2989
737032212 900392868 8752
-194672030 627342906 4573
-580335002 -580022285 6874
423108564 961574364 114
-542562903 -299087725 9812
-992109392 -527410529 8313
885710072 915924210 3881
289852995 541018599 6654
-563628218 828661926 670
-325214549 454034644 1376
-454156670 790459431 4421
155872106 457211721 8187
-470401562 890703681 8270
-520560516 -341378885 9300
983993357 994320134 3160
464292638 988046062 1651
-923473694 -200931421 5654
-537014445 243613085 5311
734824172 737839591 8928
-625966699 127705755 6798
17853198 144531042 1294
530168474 884915599 8935
-911452551 -401156212 805
-999257681 480852828 9417
-107210910 -88884833 8069
-880414354 420708152 478
46596567 805814891 5605
494912219 581933336 1750
445394904 669050347 3101
494784137 645708527 6115
-681666655 121115067 5725
235243958 910691304 4490
-536117540 821551068 8668
957731980 984497849 4642
257172978 300313797 468
-295355222 462899333 1666
235610635 272543330 739
411321619 420245421 2242
-964229918 893318978 3404
-759776793 135211252 6872
-650935170 297970111 3038
-715081950 620616108 2187
-649458194 -443591861 6399
17863774 910967258 9123
392258586 457731014 5024
131249912 470494540 7784
-799864462 660674674 5593
16078814 839599671 6311
511726905 687579941 7170
33359329 251032870 2265
878937881 940670009 8484
836632204 976711199 48
-760081101 -665791548 6767
-631200840 -123121358 1682
869598001 946220311 7726
822816623 981844852 8197
-729891566 -7868157 5825
-190625383 696059955 94
119057349 357534981 7529
-297693689 -285258732 8471
989981612 993780251 1150
-931500952 -843633879 2386
-173746533 69609727 6130
524003105 575254481 4686
468933088 608295207 5828
567100119 679927773 1280
-822070480 168248057 6139
-903831465 266068902 8134
456403566 960167684 7358
266360269 638988236 1156
-475518352 424060017 759
-869988972 630900775 8203
-514022813 903965272 3262
-306016061 568640071 348
843504117 946339757 1399
175726010 334933569 385
958877423 991201110 5796
75062734 495631256 4183
42692759 800277416 5984
-678627096 -93635 554
-227898183 365554838 3084
67076219 315264281 2329
-676014849 13295125 9824
-352542927 334941203 4974
578738128 986841232 5960
74088138 691358096 3876
348967215 895393101 2247
-582819495 -273626344 3225
339475380 898235272 1979
-459241505 -23534553 8032
424344434 793261825 7538
716292411 872334375 4738
-609797019 304927620 8179
-318476173 555034308 9537
352089663 490226706 4410
790430339 802022134 205
232054190 322113704 8131
-327340495 127041281 9066
-327128028 193232144 1582
112761630 593314426 4365
-466130443 614862924 9344
-814077887 424457113 932
-34644952 8316282 425
-154493363 67059654 8440
-509969890 -202683331 1357
-902606893 -295047637 6483
